weight	height
169	72
150	70
167	67
167	66
152	73
156	70
143	67
154	69
202	74
167	78
262	71
143	69
145	68
222	72
165	70
174	68
141	69
152	69
194	70
143	74
176	70
172	72
187	70
161	71
180	72
163	67
224	73
141	70
143	69
161	72
165	68
125	68
150	65
156	70
156	71
213	74
176	70
145	68
152	72
152	72
121	66
130	72
136	70
154	68
185	72
152	71
194	74
227	73
139	70
185	72
174	70
147	70
183	72
211	72
165	67
143	70
172	70
152	66
147	70
191	73
183	70
198	74
187	75
145	69
194	72
119	67
152	68
123	64
211	75
167	67
134	67
180	69
136	66
156	70
145	67
178	70
150	69
176	69
180	71
154	68
167	72
194	73
196	68
163	69
183	71
178	69
198	71
174	70
